country_of_origin,variety,processing_method,total_cup_points,aroma,flavor,acidity,body,balance,altitude_mean_meters
Kenya,Unknown,Washed / Wet,85.0,8.17,7.83,7.75,7.67,7.83,1.0
Kenya,SL34,Washed / Wet,85.0,7.75,7.83,8.08,8.0,7.75,1580.0
Brazil,Mundo Novo,Natural / Dry,85.0,8.0,8.0,7.83,7.67,7.67,1100.0
Mexico,Pacamara,Unknown,85.0,7.92,8.17,8.08,7.42,7.83,1400.0
United States (Hawaii),Unknown,Unknown,85.0,7.75,7.92,7.75,8.0,8.0,
Guatemala,Unknown,Unknown,85.0,7.83,8.08,8.0,7.75,7.67,1325.88
Colombia,Caturra,Washed / Wet,84.92,7.92,7.92,7.83,7.92,7.83,
Colombia,Caturra,Washed / Wet,84.92,7.92,7.83,7.83,7.75,8.0,1775.0
Taiwan,Typica,Semi-washed / Semi-pulped,84.92,7.67,7.83,7.58,8.0,7.92,800.0
"Tanzania, United Republic Of",Other,Washed / Wet,84.92,8.0,7.83,7.92,7.75,7.75,1620.0
Colombia,Caturra,Washed / Wet,84.92,7.75,7.92,7.75,7.75,8.0,1775.0
Mexico,Typica,Semi-washed / Semi-pulped,84.92,7.75,8.0,7.83,7.5,7.92,1200.0
Brazil,Bourbon,Natural / Dry,84.92,8.0,7.92,7.75,8.0,7.75,1200.0
Brazil,Catuai,Natural / Dry,84.92,8.0,8.0,8.0,7.5,7.75,1000.0
Kenya,Unknown,Unknown,84.92,8.0,7.67,8.17,7.92,7.75,
Taiwan,Typica,Natural / Dry,84.83,7.92,7.58,7.83,7.83,7.83,350.0
Uganda,SL14,Natural / Dry,84.83,7.75,7.92,7.67,8.25,7.75,1650.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,84.83,7.67,7.75,7.75,7.83,8.0,
Ethiopia,Unknown,Unknown,84.83,7.75,7.92,7.92,7.75,7.67,1750.0
Ethiopia,Unknown,Unknown,84.83,7.42,7.92,8.0,7.83,7.83,1750.0
Thailand,Caturra,Pulped natural / honey,84.75,7.75,7.75,7.75,8.0,7.75,
Kenya,SL34,Washed / Wet,84.75,7.92,7.83,7.92,7.75,7.83,1800.0
Honduras,Catuai,Washed / Wet,84.75,7.83,7.75,7.67,7.67,7.67,1450.0
El Salvador,Unknown,Unknown,84.75,7.75,8.0,8.33,7.67,7.92,1200.0
Nicaragua,Unknown,Unknown,84.75,7.83,7.58,7.83,7.75,7.67,925.0
El Salvador,Bourbon,Washed / Wet,84.67,7.83,7.83,8.0,7.83,7.67,1350.0
Indonesia,Java,Washed / Wet,84.67,7.92,7.83,7.75,7.75,7.75,1200.0
Japan,Mundo Novo,Pulped natural / honey,84.67,7.75,7.75,7.42,8.08,7.83,170.0
Costa Rica,Catuai,Washed / Wet,84.67,8.08,7.75,7.83,7.5,7.92,1150.0
Guatemala,Bourbon,Washed / Wet,84.67,7.75,7.83,8.0,7.92,7.75,1600.0
Costa Rica,Caturra,Washed / Wet,84.67,8.17,8.0,7.17,7.83,7.75,1750.0
Ethiopia,Ethiopian Yirgacheffe,Washed / Wet,84.67,8.08,7.83,7.83,7.58,7.67,1900.0
Costa Rica,Other,Other,84.67,7.67,7.58,7.75,7.67,8.58,1750.0
Costa Rica,Catuai,Washed / Wet,84.67,8.0,7.58,7.75,7.75,7.75,1200.0
Costa Rica,Unknown,Washed / Wet,84.67,8.08,7.83,7.83,7.92,8.0,
Taiwan,Typica,Washed / Wet,84.67,8.0,7.92,7.75,7.75,7.75,1000.0
Colombia,Caturra,Washed / Wet,84.67,7.75,7.83,7.83,7.75,7.83,1550.0
Kenya,SL28,Washed / Wet,84.67,7.75,7.92,8.0,7.58,7.75,2000.0
Guatemala,Bourbon,Washed / Wet,84.67,8.0,7.83,7.83,7.67,8.0,1310.64
Guatemala,Bourbon,Washed / Wet,84.67,7.67,7.83,8.0,7.67,7.83,1524.0
Mexico,Typica,Washed / Wet,84.67,7.83,7.58,7.92,7.92,7.83,1200.0
Uganda,Other,Washed / Wet,84.67,7.92,7.83,7.92,7.67,7.75,1775.0
Peru,Unknown,Unknown,84.67,7.67,7.83,7.75,7.92,7.83,
Ethiopia,Unknown,Unknown,84.67,7.42,7.75,8.0,8.0,7.92,1750.0
Kenya,SL34,Washed / Wet,84.58,7.92,7.75,7.75,7.58,7.92,1754.0
Colombia,Other,Washed / Wet,84.58,7.83,7.67,7.92,7.67,7.83,1500.0
Colombia,Caturra,Washed / Wet,84.58,7.92,7.83,8.0,7.83,7.67,
Kenya,Peaberry,Washed / Wet,84.58,7.83,7.83,7.75,7.58,7.83,1800.0
Guatemala,Pacas,Washed / Wet,84.58,7.75,7.83,7.92,7.75,7.83,1524.0
