country_of_origin,variety,processing_method,total_cup_points,aroma,flavor,acidity,body,balance,altitude_mean_meters
Costa Rica,Caturra,Washed / Wet,82.75,7.58,7.5,7.67,7.42,7.5,1850.0
Honduras,Caturra,Natural / Dry,82.75,7.58,7.5,7.58,7.5,7.5,1400.0
Brazil,Yellow Bourbon,Pulped natural / honey,82.75,7.5,7.5,7.5,7.58,7.58,905.0
China,Catimor,Natural / Dry,82.75,7.67,7.5,7.33,7.67,7.67,1100.0
China,Catimor,Washed / Wet,82.75,7.5,7.67,7.67,7.5,7.5,1500.0
Colombia,Caturra,Washed / Wet,82.75,7.5,7.58,7.75,7.33,7.5,1775.0
Malawi,Gesha,Washed / Wet,82.75,7.75,7.58,7.5,7.33,7.5,1442.0
Guatemala,Pacas,Washed / Wet,82.75,7.75,7.42,7.75,7.5,7.67,1524.0
Colombia,Typica,Washed / Wet,82.75,7.67,7.42,7.58,7.33,7.67,165.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,82.75,7.67,7.58,7.83,7.33,7.5,
United States (Hawaii),Hawaiian Kona,Natural / Dry,82.75,7.58,7.83,7.75,7.42,8.0,
Colombia,Caturra,Washed / Wet,82.75,7.58,7.33,7.33,7.25,8.58,1300.0
Mexico,Typica,Washed / Wet,82.75,7.58,7.58,7.5,7.5,7.5,1550.0
Mexico,Typica,Washed / Wet,82.75,7.58,7.58,7.75,7.25,7.58,1200.0
Mexico,Typica,Natural / Dry,82.75,8.08,8.17,8.0,7.83,7.92,1200.0
Colombia,Caturra,Washed / Wet,82.75,7.5,7.58,7.67,7.5,7.58,1625.0
Colombia,Caturra,Washed / Wet,82.75,7.67,7.58,7.58,7.5,7.42,1775.0
United States (Hawaii),Hawaiian Kona,Washed / Wet,82.75,7.25,7.75,7.83,7.67,7.67,
Panama,Catuai,Washed / Wet,82.75,7.42,7.42,7.58,7.5,7.75,1100.0
United States (Hawaii),Unknown,Unknown,82.75,7.75,7.67,7.83,7.17,7.42,
Brazil,Bourbon,Natural / Dry,82.67,7.5,7.58,7.75,7.58,7.5,890.0
Brazil,Bourbon,Natural / Dry,82.67,7.5,7.58,7.67,7.5,7.42,934.0
Laos,Catimor,Washed / Wet,82.67,7.67,7.67,7.42,7.42,7.5,1300.0
El Salvador,Pacas,Washed / Wet,82.67,7.67,7.67,7.67,7.5,7.67,1200.0
Mexico,Unknown,Unknown,82.67,7.5,7.67,7.75,7.42,7.17,1300.0
Colombia,Unknown,Washed / Wet,82.67,7.75,7.5,7.58,7.33,7.75,
Brazil,Yellow Bourbon,Natural / Dry,82.67,7.58,7.5,7.67,7.5,7.5,1.0
Brazil,Catuai,Natural / Dry,82.67,7.33,7.5,7.58,7.67,7.5,
"Tanzania, United Republic Of",Other,Washed / Wet,82.67,7.5,7.5,7.5,7.5,7.58,1700.0
"Tanzania, United Republic Of",Bourbon,Washed / Wet,82.67,7.58,7.5,7.58,7.33,7.58,1550.0
Taiwan,Typica,Washed / Wet,82.67,8.0,7.83,7.42,7.25,7.25,1200.0
Mexico,Typica,Natural / Dry,82.67,7.67,7.58,7.5,7.42,7.5,1296.0
Uganda,SL14,Washed / Wet,82.67,7.67,7.5,7.67,7.5,7.5,1650.0
Taiwan,Typica,Washed / Wet,82.67,7.67,7.5,7.5,7.5,7.5,1240.0
Thailand,Caturra,Washed / Wet,82.67,7.42,7.5,7.67,7.58,7.5,1500.0
Colombia,Caturra,Washed / Wet,82.67,7.75,7.58,7.25,7.58,7.42,1800.0
El Salvador,Other,Washed / Wet,82.67,7.92,8.0,6.75,7.92,7.58,
Guatemala,Caturra,Washed / Wet,82.67,7.67,7.67,7.67,7.5,7.5,1500.0
Thailand,Other,Washed / Wet,82.67,7.83,7.33,7.33,7.58,7.83,
Mexico,Other,Washed / Wet,82.67,7.58,7.58,7.58,7.42,7.5,1100.0
Mexico,Typica,Washed / Wet,82.67,7.5,7.58,7.58,7.42,7.42,950.0
Colombia,Unknown,Unknown,82.67,7.33,7.58,7.42,7.67,7.67,
United States (Hawaii),Unknown,Unknown,82.67,7.83,7.67,7.67,7.5,7.58,
Mexico,Blue Mountain,Unknown,82.67,7.75,7.58,7.75,7.67,7.58,1400.0
Colombia,Unknown,Unknown,82.67,8.08,7.67,7.33,7.33,7.17,1800.0
Colombia,Unknown,Unknown,82.67,7.5,7.42,7.33,7.67,7.83,
Guatemala,Bourbon,Washed / Wet,82.58,7.5,7.42,7.75,7.5,7.5,1219.2
Taiwan,Typica,Pulped natural / honey,82.58,7.67,7.42,7.42,7.58,7.5,1050.0
Brazil,Unknown,Pulped natural / honey,82.58,7.5,7.58,7.5,7.75,7.33,
Taiwan,Unknown,Unknown,82.58,7.25,7.25,7.08,7.0,7.0,200.0
Brazil,Unknown,Unknown,82.58,7.42,7.42,7.33,7.25,7.67,
Indonesia,Typica,Semi-washed / Semi-pulped,82.58,7.83,7.58,7.33,7.42,7.5,1250.0
Thailand,Unknown,Washed / Wet,82.58,7.75,7.33,7.67,7.42,7.5,800.0
Thailand,Caturra,Washed / Wet,82.58,7.42,7.58,7.42,7.58,7.5,1450.0
"Tanzania, United Republic Of",Other,Washed / Wet,82.58,7.75,7.42,7.5,7.58,7.5,1317.0
Uganda,SL14,Natural / Dry,82.58,7.83,7.5,7.58,7.42,7.42,1650.0
Costa Rica,Catuai,Washed / Wet,82.58,7.67,7.42,7.67,7.0,7.75,1300.0
Mexico,Unknown,Washed / Wet,82.58,7.58,7.58,7.75,7.67,7.67,
Guatemala,Unknown,Natural / Dry,82.58,7.5,7.58,7.58,7.42,7.58,
Colombia,Caturra,Washed / Wet,82.58,7.75,7.25,7.42,7.5,7.83,1750.0
Colombia,Caturra,Washed / Wet,82.58,7.75,7.5,7.25,7.33,7.58,1750.0
Colombia,Caturra,Washed / Wet,82.58,7.58,7.5,7.58,7.67,7.42,1750.0
Mexico,Typica,Washed / Wet,82.58,7.5,7.58,7.5,7.42,7.5,1250.0
Mexico,Typica,Washed / Wet,82.58,7.67,7.58,7.75,7.67,6.83,1150.0
Colombia,Caturra,Washed / Wet,82.58,7.33,7.42,7.42,7.67,7.5,1775.0
Brazil,Mundo Novo,Unknown,82.58,7.58,7.5,7.75,7.5,7.5,975.0
Brazil,Bourbon,Natural / Dry,82.5,7.5,7.5,7.5,7.58,7.5,890.0
Indonesia,Other,Washed / Wet,82.5,7.83,7.75,7.5,7.42,7.33,1250.0
Honduras,Caturra,Washed / Wet,82.5,7.58,7.58,7.5,7.5,7.5,1400.0
Guatemala,Bourbon,Washed / Wet,82.5,7.5,7.5,7.5,7.67,7.5,1219.2
Thailand,Unknown,Washed / Wet,82.5,7.5,7.83,7.75,7.33,7.42,800.0
Thailand,Caturra,Washed / Wet,82.5,7.33,7.5,7.5,7.67,7.5,1450.0
"Tanzania, United Republic Of",Other,Washed / Wet,82.5,7.67,7.42,7.58,7.5,7.5,1600.0
"Tanzania, United Republic Of",Other,Washed / Wet,82.5,7.75,7.0,7.58,7.58,7.58,
Mexico,Other,Washed / Wet,82.5,7.42,7.58,7.67,7.25,7.5,1600.0
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,82.5,7.42,7.5,7.33,7.42,7.67,1260.0
Guatemala,Bourbon,Washed / Wet,82.5,7.83,7.42,7.67,7.42,7.5,1310.64
Colombia,Caturra,Washed / Wet,82.5,7.5,7.5,7.42,7.58,7.58,1750.0
Guatemala,Bourbon,Washed / Wet,82.5,7.83,7.67,7.33,7.5,7.67,1310.64
Mexico,Typica,Washed / Wet,82.5,7.5,7.58,7.5,7.42,7.42,1679.0
Mexico,Typica,Washed / Wet,82.5,7.67,7.5,7.67,7.5,7.33,1100.0
Mexico,Typica,Semi-washed / Semi-pulped,82.5,7.92,7.5,7.58,7.25,7.42,1650.0
Guatemala,Caturra,Natural / Dry,82.5,7.67,7.33,7.33,7.5,7.83,
Brazil,Bourbon,Semi-washed / Semi-pulped,82.5,7.67,7.42,7.67,7.5,7.5,1250.0
Colombia,Caturra,Washed / Wet,82.5,7.67,7.5,7.5,7.25,7.67,1775.0
United States (Hawaii),Hawaiian Kona,Washed / Wet,82.5,7.33,7.42,7.75,7.42,7.67,
Guatemala,Unknown,Unknown,82.5,7.75,7.58,7.67,7.58,7.58,1600.0
Honduras,Other,Washed / Wet,82.42,7.42,7.67,7.58,7.58,7.5,1500.0
Guatemala,Bourbon,Washed / Wet,82.42,7.58,7.5,7.75,7.33,7.5,1700.0
Guatemala,Bourbon,Washed / Wet,82.42,7.67,7.58,7.67,7.42,7.33,1700.0
Guatemala,Bourbon,Washed / Wet,82.42,7.58,7.5,7.67,7.5,7.5,157.8864
Guatemala,Caturra,Washed / Wet,82.42,7.5,7.42,7.75,7.67,7.5,
Colombia,Caturra,Washed / Wet,82.42,5.08,7.75,7.75,7.83,8.08,1600.0
China,Catimor,Washed / Wet,82.42,7.67,7.42,7.5,7.42,7.42,1600.0
Brazil,Unknown,Unknown,82.42,7.42,7.5,7.5,7.25,7.42,
"Tanzania, United Republic Of",Ruiru 11,Washed / Wet,82.42,7.67,7.25,7.42,7.67,7.42,2285.0
Brazil,Yellow Bourbon,Natural / Dry,82.42,7.17,7.83,7.5,7.75,7.42,1.0
Guatemala,Caturra,Washed / Wet,82.42,7.5,7.5,7.67,7.42,7.5,1400.0
Mexico,Typica,Washed / Wet,82.42,7.42,7.5,7.58,7.42,7.5,1296.0
Brazil,Catuai,Semi-washed / Semi-pulped,82.42,7.58,7.67,7.5,7.5,7.42,1000.0
Peru,Unknown,Washed / Wet,82.42,7.58,7.58,7.75,7.5,7.58,
Brazil,Yellow Bourbon,Natural / Dry,82.42,7.25,7.33,7.5,7.42,7.5,1260.0
Mexico,Bourbon,Washed / Wet,82.42,7.5,7.58,7.92,7.42,7.67,1170.0
Honduras,Unknown,Washed / Wet,82.42,7.25,7.67,7.17,7.75,7.5,
Colombia,Caturra,Washed / Wet,82.42,7.67,7.42,7.5,7.58,7.5,1775.0
Mexico,Typica,Washed / Wet,82.42,7.5,7.42,7.67,7.42,7.58,1560.0
Mexico,Typica,Semi-washed / Semi-pulped,82.42,7.42,7.58,7.42,7.58,7.5,1400.0
Mexico,Typica,Washed / Wet,82.42,7.42,7.58,7.58,7.5,7.5,1300.0
Mexico,Caturra,Washed / Wet,82.42,7.75,7.33,7.58,7.58,7.33,1170.0
Mexico,Typica,Washed / Wet,82.42,7.5,7.58,7.5,7.5,7.5,1300.0
Mexico,Pacamara,Washed / Wet,82.42,7.58,7.58,7.5,7.5,7.5,1350.0
Mexico,Caturra,Washed / Wet,82.42,7.58,7.33,7.58,7.5,7.5,1150.0
Mexico,Bourbon,Washed / Wet,82.42,7.67,7.58,7.42,7.58,7.33,1250.0
Mexico,Typica,Washed / Wet,82.42,7.83,7.5,7.67,7.17,7.33,1450.0
Colombia,Caturra,Natural / Dry,82.42,7.67,7.33,7.42,7.5,7.67,442.0
Brazil,Arusha,Natural / Dry,82.42,7.75,7.5,7.42,7.5,7.42,
Colombia,Caturra,Washed / Wet,82.42,7.33,7.58,7.58,7.42,7.58,1750.0
Colombia,Unknown,Unknown,82.42,7.58,7.25,7.25,7.58,7.83,1750.0
Honduras,Caturra,Washed / Wet,82.33,7.5,7.58,7.5,7.42,7.42,1396.0
Brazil,Catuai,Natural / Dry,82.33,7.33,7.5,7.33,7.5,7.5,982.0
Brazil,Unknown,Natural / Dry,82.33,7.42,7.42,7.5,7.5,7.58,
Brazil,Bourbon,Natural / Dry,82.33,7.5,7.5,7.5,7.42,7.5,934.0
Costa Rica,Caturra,Washed / Wet,82.33,7.75,7.5,7.25,7.42,7.67,1850.0
Costa Rica,Catuai,Washed / Wet,82.33,7.75,7.33,7.5,7.33,7.58,1550.0
China,Catimor,Pulped natural / honey,82.33,7.5,7.58,7.5,7.42,7.42,1580.0
Brazil,Bourbon,Natural / Dry,82.33,8.25,7.83,8.33,8.17,8.08,1268.0
Brazil,Mundo Novo,Natural / Dry,82.33,7.42,7.5,7.42,7.5,7.58,
Guatemala,Bourbon,Washed / Wet,82.33,7.5,7.42,7.83,7.5,7.5,1676.4
Malawi,Gesha,Washed / Wet,82.33,7.33,7.58,7.58,7.33,7.5,1450.0
Brazil,Bourbon,Natural / Dry,82.33,7.75,8.08,8.08,8.08,8.0,1100.0
Guatemala,Pacas,Washed / Wet,82.33,7.58,7.67,7.58,7.75,7.5,1524.0
Mexico,Unknown,Washed / Wet,82.33,7.33,7.58,7.5,7.5,7.5,
Colombia,Caturra,Washed / Wet,82.33,7.42,7.33,7.17,7.08,8.33,1300.0
Taiwan,Typica,Semi-washed / Semi-pulped,82.33,7.5,7.5,7.5,7.5,7.5,200.0
Taiwan,Typica,Washed / Wet,82.33,7.5,7.5,7.5,7.5,7.5,600.0
Guatemala,Bourbon,Washed / Wet,82.33,7.5,7.42,7.5,7.5,7.58,1310.64
Colombia,Caturra,Washed / Wet,82.33,7.5,7.42,7.5,7.5,7.58,1750.0
Mexico,Typica,Washed / Wet,82.33,7.67,7.5,7.5,7.42,7.42,1300.0
Costa Rica,Unknown,Washed / Wet,82.33,7.92,7.58,7.75,7.92,7.58,
Guatemala,Bourbon,Washed / Wet,82.33,7.67,7.5,7.67,7.5,7.33,1752.6
Mexico,Typica,Natural / Dry,82.33,7.58,7.67,7.33,7.0,7.58,441.0
Mexico,Bourbon,Washed / Wet,82.33,7.67,7.58,7.58,7.5,7.5,1170.0
Guatemala,Bourbon,Washed / Wet,82.33,7.5,7.67,7.5,7.33,7.5,1310.64
Brazil,Mundo Novo,Natural / Dry,82.33,7.58,7.5,7.5,7.5,7.42,1100.0
Mexico,Typica,Washed / Wet,82.33,8.0,7.75,7.33,7.08,7.67,1300.0
Brazil,Mundo Novo,Washed / Wet,82.33,7.58,7.58,7.58,7.42,7.5,950.0
Colombia,Caturra,Natural / Dry,82.33,7.83,7.58,7.25,7.58,7.42,442.0
Brazil,Catuai,Washed / Wet,82.25,7.58,7.5,7.42,7.67,7.33,1100.0
Taiwan,Unknown,Unknown,82.25,7.0,7.08,7.17,7.0,7.0,
Guatemala,Pacas,Washed / Wet,82.25,7.67,7.5,7.67,7.42,7.42,1450.0
Brazil,Yellow Bourbon,Natural / Dry,82.25,7.42,7.67,7.08,7.5,7.42,1.0
El Salvador,Bourbon,Washed / Wet,82.25,7.58,7.67,7.67,7.83,8.42,1500.0
Honduras,Catuai,Washed / Wet,82.25,7.58,7.5,7.58,7.42,7.42,1350.0
Malawi,Gesha,Washed / Wet,82.25,7.58,7.42,7.42,7.58,7.5,1180.0
Brazil,Bourbon,Natural / Dry,82.25,7.75,7.58,7.42,7.33,7.33,1100.0
Taiwan,Typica,Washed / Wet,82.25,7.5,7.5,7.5,7.5,7.5,650.0
Mexico,Mundo Novo,Washed / Wet,82.25,7.58,7.58,7.42,7.42,7.42,1338.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,82.25,7.33,7.42,7.67,7.5,7.42,
Mexico,Bourbon,Washed / Wet,82.25,7.58,7.58,7.17,7.42,7.42,533.0
Guatemala,Bourbon,Washed / Wet,82.25,7.5,7.5,7.58,7.67,7.33,1390.8024
Mexico,Bourbon,Washed / Wet,82.25,7.5,7.58,7.67,7.33,7.42,1170.0
Mexico,Typica,Washed / Wet,82.25,7.67,7.58,7.5,7.42,7.42,1250.0
El Salvador,Other,Washed / Wet,82.25,7.75,7.33,7.5,7.5,7.5,
Mexico,Typica,Washed / Wet,82.25,7.33,7.58,7.67,7.33,7.5,1100.0
Mexico,Typica,Washed / Wet,82.25,7.42,7.5,7.58,7.42,7.5,900.0
Colombia,Caturra,Washed / Wet,82.25,7.5,7.42,7.33,7.58,7.33,1750.0
Colombia,Caturra,Washed / Wet,82.25,7.67,7.33,7.33,7.5,7.5,1775.0
Brazil,Arusha,Natural / Dry,82.25,7.67,7.58,7.0,7.5,7.58,
Colombia,Unknown,Unknown,82.25,7.17,7.25,7.25,7.58,7.67,
Brazil,Bourbon,Natural / Dry,82.17,7.42,7.42,7.42,7.42,7.5,934.0
Honduras,Caturra,Washed / Wet,82.17,7.5,7.5,7.42,7.5,7.5,1500.0
Nicaragua,Unknown,Unknown,82.17,7.5,7.5,7.42,7.5,7.42,1000.0
"Tanzania, United Republic Of",Bourbon,Washed / Wet,82.17,7.58,7.42,7.33,7.5,7.42,1650.0
"Tanzania, United Republic Of",Other,Washed / Wet,82.17,7.42,7.42,7.5,7.5,7.33,1600.0
Brazil,Yellow Bourbon,Natural / Dry,82.17,6.92,7.58,7.33,7.83,7.5,1.0
Thailand,Unknown,Washed / Wet,82.17,7.42,7.42,7.75,7.25,7.67,800.0
Honduras,Catuai,Washed / Wet,82.17,7.67,7.5,7.42,7.58,7.42,1350.0
Guatemala,Bourbon,Washed / Wet,82.17,7.42,7.42,7.5,7.42,7.5,1500.0
Brazil,Mundo Novo,Natural / Dry,82.17,7.58,7.5,7.25,7.5,7.42,
"Tanzania, United Republic Of",Other,Washed / Wet,82.17,7.75,7.42,7.58,7.33,7.42,1700.0
Mexico,Other,Washed / Wet,82.17,7.42,7.33,7.42,7.33,8.17,1100.0
Mexico,Other,Washed / Wet,82.17,7.5,7.5,7.42,7.5,7.42,1400.0
Taiwan,Typica,Other,82.17,7.5,7.5,7.5,7.5,7.5,1200.0
Taiwan,Typica,Washed / Wet,82.17,7.67,7.5,7.17,7.17,7.58,800.0
Colombia,Caturra,Washed / Wet,82.17,7.33,7.25,7.58,7.75,7.5,1750.0
Mexico,Typica,Washed / Wet,82.17,7.5,7.67,7.5,7.33,7.5,1144.0
Guatemala,Caturra,Washed / Wet,82.17,7.25,7.75,7.75,8.17,7.75,1350.0
Mexico,Typica,Washed / Wet,82.17,7.5,7.58,7.5,7.5,7.33,1000.0
Mexico,Typica,Washed / Wet,82.17,7.0,7.67,7.5,7.42,7.5,1200.0
Colombia,Unknown,Unknown,82.17,7.58,7.67,7.17,7.17,7.75,1800.0
Indonesia,Bourbon,Washed / Wet,82.08,7.5,7.5,7.42,7.5,7.42,1300.0
Colombia,Caturra,Washed / Wet,82.08,7.75,7.58,7.67,7.83,7.58,
Brazil,Bourbon,Natural / Dry,82.08,7.42,7.58,7.5,7.42,7.25,894.0
Brazil,Yellow Bourbon,Natural / Dry,82.08,7.25,7.25,7.58,7.25,7.92,1.0
Costa Rica,Caturra,Washed / Wet,82.08,7.75,7.42,7.25,7.17,7.42,1300.0
"Tanzania, United Republic Of",Bourbon,Washed / Wet,82.08,7.42,7.33,7.42,7.5,7.58,1500.0
"Tanzania, United Republic Of",Other,Washed / Wet,82.08,7.42,7.5,7.33,7.33,7.5,1600.0
Colombia,Unknown,Washed / Wet,82.08,7.5,7.42,7.42,7.67,7.42,
Costa Rica,Caturra,Washed / Wet,82.08,7.58,7.33,7.33,7.5,7.67,13.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,82.08,7.25,7.58,7.25,7.5,7.42,
Mexico,Typica,Washed / Wet,82.08,7.42,7.58,7.33,7.42,7.42,1300.0
Mexico,Typica,Washed / Wet,82.08,7.5,7.42,7.5,7.25,7.5,1800.0
Mexico,Typica,Washed / Wet,82.08,7.67,7.5,7.58,7.42,7.33,1250.0
Vietnam,Other,Natural / Dry,82.08,7.67,8.0,7.08,7.67,7.08,1040.0
Mexico,Typica,Washed / Wet,82.08,7.58,7.42,7.75,7.33,7.42,1250.0
United States (Hawaii),Hawaiian Kona,Washed / Wet,82.08,7.33,7.5,7.58,7.08,7.83,
Colombia,Unknown,Unknown,82.08,7.67,7.42,7.33,7.25,7.58,1600.0
Honduras,Caturra,Washed / Wet,82.0,7.5,7.5,7.5,7.5,7.42,1600.0
Honduras,Caturra,Natural / Dry,82.0,7.5,7.5,7.33,7.42,7.5,1600.0
Brazil,Bourbon,Natural / Dry,82.0,7.5,7.33,7.5,7.33,7.42,944.0
"Tanzania, United Republic Of",Other,Washed / Wet,82.0,7.67,7.33,7.42,7.42,7.42,1650.0
Laos,Other,Washed / Wet,82.0,7.42,7.5,7.33,7.5,7.5,1250.0
"Tanzania, United Republic Of",Other,Washed / Wet,82.0,7.42,7.42,7.58,7.33,7.42,1350.0
Malawi,Gesha,Washed / Wet,82.0,7.5,7.42,7.58,7.33,7.5,2500.0
Taiwan,Typica,Washed / Wet,82.0,7.33,7.5,7.42,7.5,7.33,600.0
Thailand,Unknown,Washed / Wet,82.0,7.58,7.5,7.42,7.33,7.42,800.0
Costa Rica,Catuai,Washed / Wet,82.0,7.5,7.25,7.33,7.75,7.5,1300.0
Honduras,Caturra,Washed / Wet,82.0,7.33,7.33,7.5,7.5,7.83,1400.0
Colombia,Caturra,Washed / Wet,82.0,7.33,7.33,7.5,7.5,7.58,1900.0
Taiwan,Typica,Washed / Wet,82.0,7.42,7.58,7.42,8.0,7.5,650.0
Brazil,Mundo Novo,Natural / Dry,82.0,7.33,7.67,7.17,7.33,7.42,1038.5
Mexico,Typica,Washed / Wet,82.0,7.67,7.33,7.5,7.42,7.42,940.0
Brazil,Mundo Novo,Natural / Dry,82.0,7.42,7.5,7.5,7.33,7.5,1000.0
Brazil,Catuai,Semi-washed / Semi-pulped,82.0,7.42,7.5,7.5,7.5,7.42,1050.0
Guatemala,Bourbon,Natural / Dry,82.0,7.33,7.33,7.5,7.67,7.67,
Brazil,Mundo Novo,Semi-washed / Semi-pulped,82.0,7.58,7.5,7.5,7.5,7.42,950.0
Guatemala,Bourbon,Washed / Wet,82.0,7.75,7.33,7.42,7.75,7.67,1402.08
Colombia,Caturra,Unknown,82.0,7.33,7.0,7.42,7.5,7.67,1775.0
Guatemala,Bourbon,Washed / Wet,81.92,7.58,7.5,7.58,7.58,7.5,1901.0
Guatemala,Bourbon,Washed / Wet,81.92,7.5,7.5,7.42,7.42,7.42,1219.2
Honduras,Caturra,Washed / Wet,81.92,7.58,7.5,7.33,7.42,7.5,1400.0
Brazil,Catuai,Natural / Dry,81.92,7.42,7.33,7.5,7.5,7.33,1020.0
El Salvador,Bourbon,Washed / Wet,81.92,7.67,7.58,7.5,7.5,7.67,1250.0
Guatemala,Catuai,Washed / Wet,81.92,7.58,7.58,7.83,7.17,7.33,1550.0
"Tanzania, United Republic Of",Other,Washed / Wet,81.92,7.33,7.33,7.42,7.5,7.58,1877.0
Nicaragua,Unknown,Washed / Wet,81.92,7.58,7.42,7.17,7.5,7.67,
Zambia,SL28,Washed / Wet,81.92,7.67,7.08,7.33,7.75,7.42,1250.0
Honduras,Unknown,Washed / Wet,81.92,7.42,7.33,7.58,7.33,7.5,
Taiwan,Typica,Other,81.92,7.5,7.5,7.25,7.5,7.5,1000.0
Mexico,Bourbon,Washed / Wet,81.92,7.58,7.5,7.58,7.5,7.25,1300.0
Mexico,Typica,Semi-washed / Semi-pulped,81.92,7.5,7.5,7.25,7.5,7.5,981.0
Mexico,Mundo Novo,Washed / Wet,81.92,7.5,7.42,7.5,7.33,7.33,690.0
Mexico,Other,Washed / Wet,81.92,7.33,7.58,7.58,7.42,7.33,1650.0
Mexico,Bourbon,Washed / Wet,81.92,7.67,7.42,7.83,7.5,7.5,1000.0
Brazil,Mundo Novo,Natural / Dry,81.92,7.42,7.58,7.5,7.33,7.5,1100.0
Colombia,Unknown,Unknown,81.92,7.67,7.33,7.58,7.33,7.33,1600.0
Guatemala,Bourbon,Washed / Wet,81.83,7.42,7.5,7.5,7.33,7.42,157.8864
Costa Rica,Catuai,Pulped natural / honey,81.83,7.25,7.33,7.33,7.67,7.42,1900.0
Brazil,Mundo Novo,Natural / Dry,81.83,7.42,7.5,7.5,7.42,7.25,973.0
Indonesia,Other,Other,81.83,7.75,7.83,7.75,7.92,7.83,1250.0
Guatemala,Bourbon,Washed / Wet,81.83,7.58,7.5,7.42,7.58,7.25,
Brazil,Yellow Bourbon,Natural / Dry,81.83,7.17,7.58,7.5,7.75,7.25,1.0
Brazil,Yellow Bourbon,Natural / Dry,81.83,7.58,7.0,6.92,7.67,7.5,1.0
Myanmar,Catuai,Washed / Wet,81.83,7.33,7.58,7.42,7.33,7.33,
Mexico,Catuai,Washed / Wet,81.83,7.58,7.5,7.5,7.17,7.33,1425.0
Honduras,Catuai,Washed / Wet,81.83,7.5,7.5,7.5,7.42,7.25,1400.0
Costa Rica,Caturra,Washed / Wet,81.83,7.67,7.5,7.25,7.08,7.42,1300.0
Taiwan,Typica,Washed / Wet,81.83,7.67,7.33,7.25,7.75,7.33,700.0
Indonesia,Typica,Other,81.83,7.42,7.42,7.33,7.42,7.42,1300.0
Malawi,Gesha,Washed / Wet,81.83,7.58,7.42,7.33,7.33,7.42,1556.0
Brazil,Bourbon,Natural / Dry,81.83,7.33,7.58,7.17,7.83,7.33,1100.0
Honduras,Caturra,Natural / Dry,81.83,7.5,7.5,7.33,7.33,7.33,1350.0
Mexico,Typica,Washed / Wet,81.83,7.42,7.42,7.5,7.33,7.42,1550.0
Colombia,Caturra,Washed / Wet,81.83,7.5,7.5,7.42,7.5,7.58,1775.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,81.83,7.83,7.83,8.0,7.83,7.83,
Brazil,Bourbon,Semi-washed / Semi-pulped,81.83,7.75,7.75,7.42,7.83,7.75,1250.0
Guatemala,Bourbon,Washed / Wet,81.83,7.83,7.67,7.33,7.67,7.83,1310.64
Mexico,Bourbon,Washed / Wet,81.83,7.83,7.33,7.58,7.25,7.33,1500.0
Mexico,Typica,Semi-washed / Semi-pulped,81.83,7.33,7.33,7.5,7.5,7.5,1250.0
Brazil,Mundo Novo,Unknown,81.83,7.33,7.67,7.5,7.5,7.25,925.0
Colombia,Unknown,Unknown,81.83,7.58,7.5,7.58,7.33,7.33,1700.0
United States (Hawaii),Unknown,Unknown,81.83,7.25,7.58,7.67,7.75,7.75,
Guatemala,Bourbon,Washed / Wet,81.75,7.5,7.5,7.42,7.42,7.33,1700.0
Vietnam,Caturra,Washed / Wet,81.75,7.0,7.08,7.5,7.5,7.33,1040.0
"Tanzania, United Republic Of",Other,Washed / Wet,81.75,7.42,7.42,7.42,7.33,7.33,1600.0
Brazil,Unknown,Natural / Dry,81.75,7.17,7.25,7.25,7.42,8.25,
Mexico,Bourbon,Washed / Wet,81.75,7.5,7.5,7.42,7.25,7.25,774.0
Mexico,Mundo Novo,Washed / Wet,81.75,7.42,7.5,7.67,7.33,7.42,1250.0
Mexico,Typica,Washed / Wet,81.75,7.42,7.5,7.58,7.33,7.33,1100.0
Mexico,Caturra,Washed / Wet,81.75,7.33,7.42,7.67,7.42,7.25,1550.0
Mexico,Typica,Washed / Wet,81.75,7.5,7.42,7.33,7.67,7.25,1650.0
Colombia,Caturra,Washed / Wet,81.75,7.33,7.42,7.33,7.5,7.67,1750.0
Colombia,Unknown,Unknown,81.75,7.42,7.58,7.08,7.25,8.0,1775.0
Brazil,Bourbon,Natural / Dry,81.67,7.42,7.5,7.5,7.5,7.25,890.0
Guatemala,Bourbon,Washed / Wet,81.67,7.42,7.42,7.42,7.33,7.42,1700.0
Guatemala,Bourbon,Washed / Wet,81.67,7.42,7.33,7.67,7.33,7.42,1219.2
Honduras,Catuai,Washed / Wet,81.67,7.58,7.5,7.33,7.42,7.25,1450.0
"Tanzania, United Republic Of",Unknown,Unknown,81.67,7.17,7.33,7.42,7.5,7.33,1800.0
Nicaragua,Unknown,Unknown,81.67,7.58,7.5,7.25,7.5,7.25,
Colombia,Unknown,Unknown,81.67,7.75,7.75,7.67,5.25,7.83,
Brazil,Yellow Bourbon,Natural / Dry,81.67,7.25,7.75,7.42,7.5,7.58,1.0
"Tanzania, United Republic Of",Other,Washed / Wet,81.67,7.42,7.33,7.42,7.5,7.42,1500.0
"Tanzania, United Republic Of",Other,Washed / Wet,81.67,7.33,7.33,7.25,7.42,7.33,1700.0
Brazil,Bourbon,Washed / Wet,81.67,7.25,7.42,7.5,7.5,7.42,1260.0
